"X","years","sport","sex","ss01","ss02","ss03","ss04","ss05","ss06","ss07","ss08","ss09","ss10","ss11","ss12","ppfi_j00","ppfi_j01","ppfi_j02","ppfi_j03","ppfi_j04","ppfi_j05","ppfi_j06","ppfi_j07","ppfi_j08","ppfi_j09","ppfi_j10","ppfi_j11","ppfi_j12","ppfi_j13","ppfi_j14","ppfi_j15","panas01","panas02","panas03","panas04","panas05","panas06","panas07","panas08","panas09","panas10","panas11","panas12","panas13","panas14","panas15","panas16","panas17","panas18","panas19","panas20"
"224","10","ソフトテニス","男性",4,4,4,4,4,4,4,4,4,4,4,4,"筋トレですね
筋トレしてればスポーツは上手くなります",0,0,0,0,0,0,6,0,0,6,0,6,0,0,6,4,5,0,5,0,0,5,5,5,5,5,5,5,5,0,0,5,0,0,0
"225","13","ソフトテニス","男性",2,1,2,2,2,2,2,3,3,2,2,2,"インカレ出場",3,2,2,2,2,1,3,4,3,3,4,2,4,3,3,4,4,2,3,3,2,3,2,3,3,3,2,3,2,3,3,3,3,2,4
"226","3","ソフトテニス","女性",1,1,1,2,3,3,3,1,1,1,1,1,"自分勝手にならないこと",1,1,1,1,1,1,1,1,1,4,0,0,0,4,0,2,3,2,4,2,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3
"227","9年","ソフトテニス","男性",1,1,1,1,1,2,2,1,1,1,2,2,"相手に打たせる",1,3,3,3,3,2,4,3,2,4,4,2,4,4,3,3,1,1,2,2,2,2,3,2,2,2,3,3,3,3,3,2,2,3,3
"228","14年","軟式野球","男性",1,2,3,4,2,4,1,2,1,3,1,3,"全国大会に出場して勝利をすること。",2,4,1,1,2,4,2,5,4,2,5,4,4,2,4,5,4,1,4,1,2,5,5,5,4,2,4,3,5,0,5,5,1,4,3
"229","8","陸上競技","男性",3,3,4,3,3,3,2,3,3,3,2,3,"箱根駅伝出場",2,3,2,3,1,1,3,3,2,3,4,4,2,3,3,1,2,2,3,3,2,3,3,2,3,3,3,2,3,2,3,3,2,3,3
"230","13年","サッカー","男性",4,3,3,2,2,3,3,3,2,2,4,2,"得点に絡む、相手選手が動きずらい様な動きをする",1,2,3,0,5,4,4,4,5,4,4,4,6,5,6,4,4,2,4,1,3,4,5,5,4,3,4,2,3,0,3,5,1,3,3
"231","11","野球","男性",3,1,3,4,4,4,2,3,1,2,1,3,"本気で取り組みながら楽しんで勝つ！",1,0,0,2,1,4,4,4,5,4,6,6,5,1,5,4,3,1,0,0,0,4,5,5,4,5,5,4,4,1,5,5,0,0,3
"232","7","野球","男性",2,2,1,1,3,3,2,1,2,2,2,2,"怪我をせず、長期的に活動する。",4,2,2,2,2,2,2,2,1,2,2,4,2,4,4,2,3,2,3,2,2,3,3,2,3,3,3,3,3,1,2,3,2,2,3
"233","10年","野球","男性",0,0,0,0,1,1,2,3,0,0,2,1,"まず軟式野球でヒットを打つこと",5,1,1,1,3,5,6,6,1,5,2,5,1,3,4,2,3,3,0,3,0,2,1,2,4,4,4,0,3,4,3,5,3,2,3
"234","14","テニス","男性",1,0,0,0,3,4,0,1,1,1,1,1,"サーブの種類を増やし、それを同じようなフォームで使い分けられるようにする",2,4,2,2,1,4,4,2,4,3,2,2,4,4,4,4,2,1,3,1,2,5,1,4,2,2,3,3,2,2,4,4,1,3,3
"235","3年","オーストラリアンフットボール","男性",1,0,3,3,4,4,1,1,0,1,3,1,"現地に行って、自分の力を試す",6,1,0,4,4,6,6,6,2,1,0,5,1,0,1,4,0,1,4,1,0,4,1,4,5,5,4,0,4,3,5,4,1,4,5
"236","12年","ラグビー","男性",3,3,4,4,2,1,4,2,3,3,2,4,"一部昇格",1,0,0,1,1,4,4,2,6,4,4,4,5,5,6,4,5,2,3,1,3,5,5,5,5,3,5,4,5,1,3,1,2,5,5
"237","14","サッカー","男性",1,2,2,3,3,4,3,0,1,3,3,1,"与えられた環境で、チームの勝利に貢献する。",1,1,1,2,1,4,2,1,4,2,1,2,1,5,1,1,4,2,4,3,2,5,4,1,4,4,4,2,4,1,4,4,2,3,4
"238","８年","硬式テニス","男性",2,1,1,2,3,4,4,4,1,0,3,4,"自分の試合結果よりも、後輩育成に力を入れて取り組むことを目標にしている。",2,6,1,5,2,4,6,5,5,1,4,6,6,2,0,2,1,0,2,0,0,1,3,0,4,4,5,1,1,0,0,5,1,0,4
"239","17","テニス","女性",2,2,2,3,4,3,3,2,1,2,2,3,"全日本学生選手権で良い戦績を残すこと",2,4,1,2,3,2,4,4,2,3,3,5,3,2,1,3,3,4,4,1,1,5,2,3,3,4,4,2,3,1,4,4,0,4,1
"240","13","クロスカントリースキー","男性",1,1,2,3,3,4,4,1,0,0,1,2,"インカレでのリレー優勝",1,2,0,1,2,5,6,2,4,3,1,5,1,1,1,4,3,2,2,2,1,4,5,1,4,4,2,4,5,0,1,4,1,4,1
"241","12年","バドミントン","女性",1,1,1,4,4,4,4,4,1,1,1,4,"ダブルスもシングルも良い結果を出す
インカレベスト16以上",0,1,0,0,0,6,6,3,3,5,6,6,6,6,6,4,4,1,3,1,1,5,5,2,4,2,5,2,4,1,0,5,1,5,4
"242","10年","陸上競技　長距離走","男性",1,2,1,0,1,2,3,2,2,2,2,1,"箱根駅伝出場",2,2,6,6,6,4,4,1,4,3,4,3,4,2,3,3,3,2,2,3,3,3,1,4,3,5,2,4,5,0,4,3,5,1,3
"243","13","バスケットボール","女性",0,1,1,1,1,3,1,1,1,1,1,1,"アイデンティティの確立",2,2,2,2,2,4,4,2,4,4,4,4,2,4,4,4,4,3,3,2,2,3,3,3,4,4,4,3,4,2,2,4,2,4,2
"244","１４年","バスケットボール","女性",1,1,1,1,3,2,2,3,1,2,2,2,"競技を通して社会に通用する人間性を獲得すること",0,3,0,1,0,1,4,2,4,5,5,4,3,4,3,3,5,1,3,1,2,4,3,4,4,4,5,5,4,0,1,4,0,3,4
"245","11年目","バスケ","女性",1,1,1,1,3,2,2,2,1,1,2,2,"心も体も技術も成長するため",2,2,2,3,1,4,5,5,5,5,1,5,4,1,4,5,4,4,3,3,3,3,2,3,3,4,4,4,4,3,4,4,1,3,4
"246","14年","バドミントン","女性",3,1,1,2,2,1,3,3,1,2,1,2,"インカレに出場する",2,2,5,1,2,4,2,4,4,4,2,1,1,2,1,2,3,2,1,2,2,3,3,3,3,3,3,2,3,2,4,3,4,3,3
"247","11","テニス","男性",4,1,2,3,3,4,1,2,1,2,3,2,"試合の結果に関わらず「諦めずに日々の練習に取り組むこと」今勝てなくても成長するのは毎日でありさぼってしまうとモチベーションが低下するために日々の練習に真剣に取り組むこと",1,2,1,5,1,4,2,3,4,3,2,5,4,2,4,5,2,3,3,3,3,1,4,2,4,4,2,1,3,5,3,3,2,3,2
"248","4年","バドミントン","男性",1,1,1,2,2,3,3,3,1,1,3,2,"チーム全員が心身ともに成長",1,5,1,2,1,1,5,5,5,5,2,4,5,4,3,2,3,1,2,1,1,1,2,0,2,2,2,3,3,1,0,4,1,1,4
"249","1年半","筋トレ","男性",3,2,3,2,2,2,2,4,2,2,3,2,"筋肉をつける",0,0,0,0,0,5,5,5,5,3,5,6,4,6,5,4,4,0,5,0,0,5,5,0,4,4,5,0,1,0,0,5,0,0,2
"250","14","サッカー","男性",3,3,3,3,3,4,2,2,3,2,3,2,"楽しむと",0,2,0,2,0,2,6,5,6,6,5,6,5,5,5,3,5,1,4,2,2,3,4,3,1,2,4,4,5,2,3,4,2,4,3
"251","12年","バスケットボール","女性",0,0,0,0,1,1,0,0,0,0,0,1,"試合に出て勝利に貢献する",3,3,1,4,4,3,2,4,4,2,2,5,4,3,2,3,1,0,2,2,0,1,1,3,3,0,3,2,2,2,1,3,2,2,3
"252","11","サッカー","男性",1,1,3,3,4,4,4,2,3,3,3,4,"選手権ベスト4以上",2,2,2,2,1,4,4,4,4,4,4,5,3,5,5,4,4,2,4,1,1,4,4,4,4,2,4,4,4,1,3,4,1,1,3
"253","2","ボディビル","男性",4,3,3,4,3,4,3,3,2,3,3,4,"nabbaという団体のボディビル競技（スポーツモデル）で日本・韓国大会で優勝すること。",0,0,0,0,0,5,5,3,5,5,6,6,3,5,6,4,4,2,4,0,3,5,5,5,5,5,5,5,5,0,2,0,0,3,5
"254","13年","卓球","女性",4,4,4,4,3,4,4,3,3,4,4,3,"インカレ優勝",0,0,0,0,0,0,6,0,6,0,6,3,6,6,6,5,4,1,5,0,0,5,5,5,5,5,5,5,1,0,2,3,0,3,1
"255","14年","アイスホッケー","男性",2,2,1,3,3,3,4,1,1,1,3,3,"チームで感情をコントロールしてお客さんに応援されるチームになりたい",5,0,0,1,0,2,5,3,4,5,1,5,0,4,1,2,3,1,3,2,3,4,5,3,4,5,5,1,2,0,2,4,0,2,4
"256","9","アイスホッケー","男性",4,4,3,4,4,3,3,4,3,3,4,3,"日本一",0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,5,4,1,4,1,1,5,4,1,5,4,5,2,4,1,0,5,1,2,2
"257","7","バレーボール","男性",1,1,1,1,2,2,3,3,1,2,3,3,"個人的な考えをチームに強要せず、チーム全体としてひとつの方向に向かい頑張っていくこと。",2,1,2,0,0,4,6,2,4,6,6,4,4,4,4,4,4,1,4,1,1,4,4,4,4,4,4,4,4,1,1,4,1,4,4
"258","17","アイスホッケー","男性",1,2,2,3,2,2,3,3,2,1,3,3,"怪我なくプレーする",2,2,1,1,1,4,2,4,1,4,4,4,4,4,4,3,4,2,3,1,1,3,3,2,3,4,3,2,4,3,3,3,2,4,3
"259","13年","アルペンスキー","女性",0,0,0,0,2,2,2,1,0,0,1,1,"根性をつける",4,4,3,3,4,4,3,4,4,4,2,3,2,2,3,5,2,4,2,3,4,1,3,3,2,4,2,2,2,3,3,3,3,2,3
"260","11","アルペンスキー","女性",0,1,1,1,1,3,1,3,0,0,0,4,"インカレ入賞",3,1,1,5,5,2,5,4,4,3,3,3,5,4,4,4,4,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,1
"261","13","アイスホッケー","男性",2,2,1,4,4,4,2,3,1,1,2,2,"大学1年生の時から目指してきた、1部Aに昇格すること",2,2,0,2,2,4,3,4,6,2,4,6,2,3,2,1,4,3,3,2,3,3,5,5,4,5,5,3,4,0,3,5,1,3,3
"262","16年","アルペンスキー","女性",1,1,0,1,2,3,3,4,0,0,1,1,"失敗や怪我を恐れず恐怖に勝ちとことん攻めること。",3,0,0,2,2,3,5,1,3,2,3,4,4,4,5,5,2,4,3,0,4,1,3,2,4,4,4,3,4,0,4,5,3,4,5
"263","17","卓球","女性",1,0,0,1,0,2,4,4,0,0,4,1,"全日学予選通過",0,1,6,5,0,1,5,1,0,6,5,2,6,1,3,4,4,5,4,4,1,3,3,2,1,4,4,1,4,4,4,4,1,4,3
"264","11","アイスホッケー","男性",2,3,2,3,3,4,1,1,2,2,1,1,"自分がいいプレーをすることで、チームは勝てるので一貫性のあるパフォーマンスをする",5,6,5,4,5,5,1,2,3,4,5,3,2,2,4,0,4,2,2,0,3,1,5,1,1,3,4,1,3,3,4,4,4,2,4
"265","1","ボディービル","男性",3,2,2,2,2,2,2,3,3,2,2,2,"自己ベストを更新すること",2,6,2,4,4,4,6,0,6,1,0,4,3,0,2,4,4,3,2,4,0,1,3,1,4,4,3,4,4,1,0,4,0,0,2
"266","15","卓球","女性",3,1,1,1,3,4,4,4,2,3,4,4,"全日本学生選手権大会に出場しランクに入ること",0,0,0,0,0,0,5,6,1,5,5,6,6,0,6,5,4,1,4,1,1,4,1,5,5,5,5,5,3,3,3,5,1,1,5
"267","9年","卓球","女性",1,0,1,1,3,3,3,2,0,0,1,2,"全日学出場",4,4,2,4,2,4,5,5,5,4,2,2,2,2,4,1,1,2,2,3,2,3,2,2,3,3,3,2,3,2,3,3,2,2,3
"268","13","バドミントン","女性",1,1,2,3,1,3,3,1,1,1,2,1,"試合に勝つこと",0,0,0,0,0,6,4,1,1,4,4,6,2,4,6,4,3,1,3,1,1,4,4,3,3,3,5,4,4,4,2,4,2,4,4
"269","0年"," テニス","男性",1,1,2,2,2,3,3,3,1,1,2,2,"今テニスをやっているが、履修が終わるまでテニスの基礎的なことくらいはしっかり身につけたい。",3,5,4,4,3,4,4,5,4,4,4,5,4,5,5,4,4,3,2,2,2,2,4,2,4,3,4,3,4,4,4,4,2,4,3
"270","3年→2年ブランク→再開後3ヶ月目","ゴルフ","男性",0,0,0,0,1,4,4,2,0,0,3,0,"自分の上達を通して他人に教えることができるようになる",0,1,2,0,1,6,5,3,6,3,0,6,2,0,3,4,3,0,0,0,0,0,3,0,2,4,5,0,3,3,0,5,0,0,0
"271","10年","ゴルフ","女性",3,1,3,1,3,2,1,4,1,2,2,1,"Aリーグ昇格",2,1,0,2,1,2,3,3,3,3,4,4,3,5,2,2,4,2,4,2,2,4,4,2,3,2,4,3,2,1,3,3,2,2,4
"272","9年","野球","男性",2,1,3,4,4,3,3,3,2,2,1,3,"負けるのが大嫌いなので勝つことだけを目標にしています。",2,2,0,0,0,1,3,4,4,2,5,3,5,6,3,3,5,1,4,1,0,5,4,3,4,1,5,5,5,0,3,5,0,2,0
"273","13","ゴルフ","男性",2,2,2,2,2,2,2,3,2,2,2,2,"マスターズ優勝",2,0,0,0,0,6,4,4,4,4,3,4,2,2,4,5,5,5,5,2,4,2,3,4,4,5,5,3,5,3,4,5,4,4,4
"274","15年","ゴルフ","男性",0,0,1,1,3,3,2,2,1,1,1,2,"メジャー制覇",0,0,0,0,0,4,4,4,4,4,3,4,0,2,4,4,3,1,2,0,0,3,3,5,3,5,5,2,4,3,5,5,5,5,5
"275","10年","バスケットボール","女性",2,3,3,3,3,2,4,3,3,4,3,3,"関東大学女子バスケットボール連盟における1部のベスト4以上",2,3,0,0,3,5,5,3,3,5,5,5,3,0,2,4,3,2,1,3,2,3,4,4,4,3,4,4,4,0,2,4,0,0,4
"276","11","バスケットボール","女性",2,2,2,2,3,3,2,2,2,2,2,2,"点数を取れるようにプレーを選択する",2,2,2,2,2,2,4,2,3,4,4,4,3,4,3,3,3,3,2,2,3,2,2,2,3,3,3,3,3,2,2,3,2,2,2
"277","12年","バスケットボール","女性",1,1,3,2,3,4,3,1,2,3,1,2,"人間として成長する",1,0,1,2,0,0,4,1,3,4,3,3,3,4,1,4,5,1,3,3,2,3,3,2,5,5,5,5,5,1,1,4,0,4,3
"278","16","バスケットボール","女性",2,1,3,2,3,3,3,3,1,1,1,3,"みんなが同じ目標に向かって行動すること",1,0,0,0,0,5,4,1,5,6,6,6,6,5,6,4,4,3,2,2,1,5,2,3,4,5,5,4,4,1,3,3,0,4,4
"279","9年","バスケットボール","女性",2,1,1,2,3,2,3,2,1,1,2,1,"試合で勝つこと",1,1,1,3,4,1,5,5,5,5,2,5,4,5,3,3,2,3,3,1,1,3,3,3,3,3,3,3,3,1,2,2,1,1,3
"280","9","バスケ","男性",2,2,2,2,2,2,2,2,2,2,2,2,"チームワーク",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,2,2,2,3,3,3,2,2,2,3,3
"281","10年","バスケットボール","男性",1,0,1,1,1,1,2,2,2,2,2,1,"認めてもらえるような選手",2,2,2,3,2,3,2,1,2,2,4,3,5,0,5,4,4,2,4,3,2,4,4,2,4,1,4,3,3,2,1,4,2,1,3
"282","10","バスケ","男性",3,3,3,3,3,3,3,3,2,2,2,3,"必要とされる選手",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,2,3,2,3,2,3,2,2,2,2,3,3
"283","14","バスケットボール","男性",3,3,3,3,3,3,3,3,3,3,3,3,"プロバスケットボール選手になること。",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,2,3,3,2,3,2,3,3,3,2,3,3,2,2,2
"284","3","アメリカンフットボール","男性",2,1,1,1,1,1,3,1,1,1,1,1,"スタメンになる",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"285","4","アメフト","男性",3,2,2,2,2,2,2,2,2,2,2,2,"フィジカルアップ",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"286","13","バスケットボール","女性",0,2,1,2,1,3,4,1,0,1,2,0,"ベスト4以上",2,2,1,1,1,5,1,4,3,4,3,5,2,4,1,2,4,3,1,3,3,1,1,2,3,4,4,4,4,4,4,4,1,3,4
"287","10年","バスケットボール","女性",2,2,2,1,1,2,1,1,2,1,2,2,"走り負けない",1,4,2,2,2,3,3,3,3,2,4,2,4,2,3,2,3,3,2,2,2,2,3,2,3,2,4,2,3,0,3,3,2,3,3
"288","9","バスケットボール","女性",1,0,1,1,1,3,1,1,0,1,1,1,"リーグ戦ベスト4以上",2,3,3,4,4,6,6,1,2,0,1,1,1,0,5,5,4,4,3,2,5,1,4,2,3,4,3,3,2,4,5,3,5,1,5
"289","7年","アメリカンフットボール","男性",3,1,1,4,4,4,4,1,0,0,2,4,"big昇格",0,0,0,0,0,3,3,0,4,4,2,6,6,6,6,0,2,0,4,2,2,4,5,4,5,5,5,5,5,1,4,5,1,4,2
"290","5","クロスカントリースキー","女性",1,3,4,3,1,3,1,4,3,4,3,4,"インカレ入賞をする。リレー5位！",2,1,2,2,2,4,4,4,4,5,4,4,4,1,5,4,5,4,4,3,3,3,4,1,4,1,4,4,4,4,1,4,3,4,1
"291","12","バスケット","男性",3,3,3,3,3,3,3,3,3,3,3,3,"日本一",0,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"292","13","バスケットボール","男性",2,2,1,1,1,2,3,3,0,1,1,1,"試合に出てる出てない関係なくチーム全員で勝つこと。",1,1,1,1,1,4,4,2,4,3,4,4,4,5,1,4,2,2,3,3,3,1,3,3,3,5,4,2,3,2,4,3,2,4,3
"293","6年","アメリカンフットボール","男性",0,0,0,3,3,3,3,3,1,1,3,2,"チーム力",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"294","4","アメフト","男性",3,3,2,2,3,3,3,2,2,2,2,2,"向上心を持つ",2,3,2,2,2,4,3,2,3,4,3,2,3,2,3,3,2,3,3,2,3,2,2,3,2,3,2,2,3,2,3,2,3,2,3
"295","４年","アメリカンフットボール","男性",1,2,2,2,2,3,3,3,3,3,2,2,"結果を出さないといけないところで出すこと。",4,4,4,4,5,4,4,4,4,4,4,4,2,2,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"296","9年","バスケットボール","男性",1,0,1,2,2,1,2,2,0,0,1,1,"プロバスケットボール選手になること",2,3,1,0,0,1,5,4,4,2,0,2,4,3,4,3,3,2,2,2,2,3,3,3,4,2,3,2,1,2,3,3,1,2,3
"297","14","バドミントン","女性",3,3,3,3,2,1,3,3,0,0,1,3,"全日本総合出場",1,3,1,1,0,3,4,1,1,4,4,5,3,4,5,2,5,2,3,0,2,3,4,3,3,5,5,3,4,3,2,5,0,5,3
"298","10","クロスカントリースキー","女性",0,0,0,0,4,4,4,2,0,0,2,0,"競技を行うことの目標は、人に指導できるように自分の技術や経験を培うことだと考える。
この競技を行うことで、この先有利になることはほぼ無いが、競技を行ってきた経験や人に指導出来るような技術の獲得というのは、自分の人生に生きると考えるため。",5,6,3,5,2,4,4,2,4,4,4,4,2,2,4,5,5,4,1,1,1,3,3,1,5,5,5,1,3,4,5,1,3,1,5
"299","5年","アメリカンフットボール","男性",0,0,1,3,1,2,3,4,1,1,3,2,"怪我をしない体作り
怪我が当たり前のスポーツであるから少しでも怪我の軽減する様に体幹・筋肉量・柔軟性・インナーマッスルなどの体作りを怠らない。
また日々の食事や睡眠などもとても重要なのでルーティンを作り体に染み込ませる。",6,4,6,5,1,6,5,5,3,4,5,4,5,0,3,1,3,5,5,5,1,2,4,0,5,4,5,5,5,0,1,3,0,0,5
"300","12年","バドミントン","女性",3,1,1,1,3,4,3,4,1,3,1,4,"インカレで上位の成績を残す
ダブルもシングルもできるプレイヤーになる",1,1,0,0,0,5,6,6,5,6,6,6,6,6,6,5,5,1,2,1,1,5,5,1,5,1,5,2,5,1,1,4,1,4,4
"301","12","バドミントン","女性",1,0,1,0,1,2,2,1,0,0,0,0,"とにかく楽しむこと",3,5,1,2,2,3,4,4,4,4,2,4,2,2,3,5,4,5,0,2,5,1,2,3,3,4,3,3,2,4,4,2,2,3,4
"302","12年","バドミントン","女性",2,2,3,2,2,3,3,2,3,2,3,2,"慎重な場面で焦らず自分のプレーを出しきること",5,1,0,0,0,3,5,5,3,5,1,4,3,5,5,3,2,3,2,2,3,3,3,3,3,3,3,3,3,1,1,3,1,1,3
"303","14年目","バドミントン","女性",1,1,2,2,3,3,3,2,1,3,2,2,"インカレ出場",2,2,2,2,2,2,4,4,4,4,4,4,4,3,4,3,3,1,2,2,3,3,3,1,3,4,3,3,3,2,3,4,2,3,3
"304","11年","卓球","男性",2,0,1,3,3,2,3,1,1,2,3,3,"全日学出場",2,1,2,2,2,2,4,4,4,4,4,4,6,3,5,5,2,2,3,3,4,3,3,3,2,4,3,2,3,2,2,4,2,2,5
"305","10年","卓球","男性",2,2,2,2,3,3,2,2,0,1,1,1,"全国大会でランクに入る。",1,0,2,2,2,3,4,2,4,4,2,4,3,3,5,2,4,2,3,0,2,3,3,0,3,5,4,2,3,2,2,4,1,2,3
"306","14年","卓球","男性",2,1,1,3,3,3,1,1,1,1,4,3,"全日本選手権でランクに入ること。",2,3,1,1,1,2,4,4,5,3,4,4,3,4,4,3,2,2,3,2,2,2,3,1,3,4,3,3,1,3,1,3,4,2,3
"307","10","バスケットボール","男性",2,2,1,3,3,3,2,1,2,3,2,2,"パフォーマンス",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,1,4,1,1,3,4,4,4,1,4,3,4,2,3,4,2,3,4
"308","14年","バドミントン","女性",3,1,3,1,3,3,2,3,2,1,2,3,"1部昇格",2,2,2,1,1,4,4,3,3,4,2,3,3,4,2,4,3,2,3,2,3,3,3,2,3,3,3,3,2,2,1,4,1,4,3
"309","13年","硬式テニス","男性",2,1,1,2,3,3,3,3,2,3,1,2,"インカレに出場すること",3,2,2,2,2,2,2,5,4,3,5,4,3,1,4,3,3,4,2,2,3,3,3,3,3,3,3,3,3,1,4,3,2,3,3
"310","1年半","ジム（ヨガ、ピラティス、キックアウト）、ランニング","女性",2,2,3,2,2,2,2,3,3,2,3,2,"痩せるため",2,2,2,2,2,2,4,4,4,4,4,4,4,4,5,3,4,1,1,3,1,3,4,1,4,3,4,3,3,1,2,4,1,2,3
"311","15年","バドミントン","女性",1,1,0,2,2,4,3,2,1,1,0,2,"個人戦で全国ベスト4に入る。そのために日頃からの身体作りやトレーニング、自分に厳しくできるかできないかが大きく影響してくると思う。",1,0,0,1,1,4,4,4,4,4,3,4,4,5,4,5,3,2,4,2,2,3,2,3,5,5,5,5,5,2,4,5,1,5,5
"315","1年","空手","女性",3,2,2,2,3,4,3,3,2,2,3,2,"精神の鍛錬",2,4,0,1,1,0,6,2,5,5,6,6,4,5,6,2,3,0,3,4,1,3,3,1,5,5,3,1,1,0,1,5,1,0,2
"316","12年","バレーボール","男性",1,2,0,1,2,3,2,2,1,2,4,2,"スポーツマンシップ",0,1,1,1,0,0,0,0,0,0,6,6,6,6,6,4,4,1,2,2,1,4,3,3,3,3,3,3,3,1,3,3,4,3,3
"317","13","バレーボール","男性",1,1,1,1,1,3,1,1,1,2,2,1,"ミスを減らす",5,1,1,1,1,5,5,5,5,3,4,4,5,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"318","7","バレーボール","男性",1,2,3,1,3,4,4,1,1,2,2,1,"自分のパフォーマンスをよくして自信に繋げる",4,1,1,2,2,2,3,5,5,5,4,4,5,1,5,3,3,3,3,2,2,3,3,2,3,3,4,3,3,2,3,3,2,3,3
"319","3","合気道","男性",2,1,2,2,3,3,2,3,2,3,2,1,"合気道の受けを柔らかくなるようにする。",4,4,3,2,2,5,5,2,4,4,4,5,4,5,6,2,4,1,3,2,3,4,2,4,5,5,4,2,4,2,3,5,2,1,4
"320","4","オーストラリアンフットボール","男性",3,2,3,4,3,3,4,1,2,3,1,3,"チームとしてオーストラリアンフットボールのリーグ戦において日本一位を取ること。",2,2,1,2,1,2,2,2,1,2,1,2,2,2,1,3,4,1,1,1,1,3,3,3,4,2,3,3,4,1,3,4,3,2,1
"321","3","オーストラリアンフットボール","男性",3,2,1,4,2,4,1,2,2,3,0,2,"日本一位",4,2,1,0,0,4,4,4,6,5,6,6,5,6,6,2,5,2,5,2,2,5,5,5,5,5,5,4,5,0,5,5,0,5,3
"322","3","オーストラリアンフットボール","無回答",4,4,4,4,4,4,4,1,3,2,4,4,"昨日の自分より成長していること",6,0,0,0,0,0,0,1,6,4,6,6,5,4,4,5,5,0,5,0,0,5,0,0,5,5,5,5,0,0,0,5,0,0,5
"323","2","オーストラリアンフットボール","男性",1,1,3,2,3,3,3,3,1,1,1,1,"試合に勝つこと。",0,5,2,0,1,3,4,1,0,3,5,5,0,5,5,4,3,1,3,2,1,4,4,3,3,4,4,3,4,4,1,5,0,1,2
"324","0","合気道","女性",0,0,0,0,1,1,0,0,0,0,0,0,"試合がないため、武道の心を持ち心身共に成長する",1,1,5,1,5,1,5,1,4,1,4,5,2,2,2,1,1,4,1,1,3,1,1,3,1,2,4,1,1,4,4,4,1,1,1
"325","3年","オーストラリアンフットボール","男性",4,4,3,3,3,3,1,3,3,3,1,3,"優勝すること。",2,2,4,0,0,2,4,4,4,4,4,5,5,5,4,5,4,0,4,1,1,4,4,4,4,3,4,3,4,1,4,4,1,3,4
"326","13","卓球","女性",4,2,2,3,2,3,1,2,0,0,0,1,"インカレ出場",2,4,1,1,1,1,2,3,3,2,2,4,1,2,5,3,4,3,2,2,3,3,2,3,2,3,3,3,3,3,2,3,3,3,2
"327","2","空手","女性",2,2,2,2,2,2,3,2,1,2,3,2,"精神を安定させるために気持ちを作ること",3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,2,3,2,3,2,3,3,2,3,2,3,2,4,2
"328","11年","クロスカントリースキー","男性",3,1,2,2,3,4,2,3,1,1,1,3,"少しずつ能力（機能）を上げていくこと",0,0,0,1,1,6,5,3,6,5,1,6,0,3,6,4,1,3,3,4,3,1,4,4,4,5,3,4,3,2,3,5,0,0,5
"329","4","フェンシング","男性",3,2,3,2,3,3,2,1,2,2,2,3,"インカレベスト8",4,2,1,3,2,3,2,3,1,4,3,4,3,3,3,2,3,2,3,2,2,3,3,2,3,2,2,3,2,1,2,3,1,2,3
"330","7","陸上競技(長距離)","男性",2,1,3,3,2,2,3,1,2,2,2,3,"専修大学の大エースになる。
",2,3,2,2,2,3,3,4,3,3,3,4,4,4,4,2,3,1,4,1,2,3,4,2,3,2,3,3,3,1,2,3,1,3,2
"331","16","柔道","男性",1,1,2,2,3,3,1,1,1,2,1,1,"将来的には人の手助けとなる行動ができるようになる",2,2,5,4,4,3,4,3,4,4,4,4,4,5,4,3,3,4,3,2,3,3,3,4,4,3,4,4,4,5,4,4,2,5,5
"332","14年目","柔道","男性",2,3,2,2,3,3,3,3,1,1,2,3,"全国大会に出場する",2,3,1,2,2,5,5,4,4,4,4,4,2,2,4,4,4,3,2,2,3,3,3,3,3,3,3,2,3,2,3,3,2,3,3
"333","10年","柔道","男性",1,1,1,1,1,1,1,2,1,1,1,1,"試合に出て結果を残す",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
